1.0,1.1
1.4,1.7000000000000002
1.4,1.7000000000000002
1.4,1.7000000000000002
2.4,2.5
2.4,2.5
2.4,2.5
2.4,2.5
3.2,3.6
3.6,3.7
3.6,3.7
3.6,3.7
4.0,4.2
4.2,4.6
4.2,4.6
4.2,4.6
5.0,5.5
5.0,5.5
5.0,5.5
5.0,5.5
5.0,5.5
5.0,5.5
5.5,6.0
5.5,6.0
5.5,6.0
5.5,6.0
6.0,8.2
8.2,8.4
8.4,8.9
8.4,8.9
8.4,8.9
8.9,9.8
8.9,9.8
8.9,9.8
8.9,9.8
9.8,11.4
9.8,11.4
9.8,11.4
9.8,11.4
11.4,12.8
12.8,13.2
12.8,13.2
12.8,13.2
13.2,13.8
13.8,14.4
13.8,14.4
13.8,14.4
14.4,16.7
16.7,17.9
16.7,17.9
16.7,17.9
16.7,17.9
17.9,19.4
19.4,19.5
19.4,19.5
19.4,19.5
19.5,21.9
21.9,22.1
21.9,22.1
21.9,22.1
